country,year,adaptation_and_nature_solutions,climate_science_and_phenomena,energy_and_technology,extreme_weather_and_impacts,greenhouse_gases_and_emissions,policy_agreements_and_economics,total_sentences,climate_sentences_BERT,climate_sentence_ratio_BERT
ALB,2008,0.0,0.0,0.0,0.0,0.0,0.0,69,6,0.08695652173913043
ALB,2009,0.0,0.0,2.0,0.0,0.0,0.0,70,5,0.07142857142857142
ALB,2010,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.02666666666666667
ALB,2011,0.0,0.0,1.0,0.0,0.0,0.0,118,16,0.13559322033898305
ALB,2012,0.0,0.0,0.0,0.0,0.0,0.0,52,3,0.057692307692307696
ALB,2013,0.0,0.0,0.0,0.0,0.0,0.0,69,4,0.057971014492753624
ALB,2014,0.0,0.0,0.0,0.0,0.0,0.0,50,3,0.06
ALB,2015,0.0,0.0,0.0,0.0,0.0,0.0,25,3,0.12
ALB,2016,0.0,0.0,0.0,0.0,0.0,0.0,30,2,0.06666666666666667
ALB,2017,0.0,0.0,0.0,0.0,0.0,0.0,62,4,0.06451612903225806
ALB,2018,0.0,0.0,0.0,0.0,0.0,0.0,56,8,0.14285714285714285
ALB,2019,0.0,0.0,0.0,0.0,0.0,0.0,64,13,0.203125
ALB,2020,0.0,0.0,0.0,0.0,0.0,0.0,25,3,0.12
ALB,2021,0.0,0.0,0.0,0.0,0.0,0.0,46,5,0.10869565217391304
ALB,2022,0.0,0.0,0.0,0.0,0.0,0.0,60,2,0.03333333333333333
ALB,2023,0.0,0.0,0.0,0.0,0.0,0.0,82,10,0.12195121951219512
ALB,2024,0.0,0.0,0.0,0.0,0.0,0.0,61,4,0.06557377049180328
ALB,2025,0.0,0.0,0.0,0.0,0.0,0.0,72,8,0.1111111111111111
AND,1994,0.0,0.0,0.0,0.0,0.0,0.0,31,3,0.0967741935483871
AND,1995,0.0,0.0,0.0,0.0,0.0,0.0,86,2,0.023255813953488372
AND,1996,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0.0
AND,1997,0.0,0.0,0.0,0.0,0.0,0.0,66,5,0.07575757575757576
AND,1998,0.0,0.0,0.0,0.0,0.0,0.0,57,0,0.0
AND,1999,0.0,0.0,0.0,0.0,0.0,0.0,64,2,0.03125
AND,2000,0.0,0.0,0.0,0.0,0.0,0.0,70,4,0.05714285714285714
AND,2001,0.0,0.0,0.0,0.0,0.0,0.0,70,0,0.0
AND,2002,0.0,0.0,0.0,0.0,0.0,0.0,66,2,0.030303030303030304
AND,2003,0.0,0.0,0.0,0.0,0.0,0.0,46,6,0.13043478260869565
AND,2004,0.0,0.0,0.0,0.0,0.0,0.0,44,1,0.022727272727272728
AND,2005,0.0,0.0,0.0,0.0,0.0,0.0,31,3,0.0967741935483871
AND,2006,0.0,0.0,0.0,0.0,0.0,0.0,99,4,0.04040404040404041
AND,2007,0.0,0.0,0.0,0.0,0.0,0.0,63,12,0.19047619047619047
AND,2008,0.0,0.0,1.0,0.0,0.0,0.0,46,12,0.2608695652173913
AND,2009,0.0,0.0,0.0,0.0,0.0,0.0,63,6,0.09523809523809523
AND,2010,0.0,0.0,0.0,0.0,0.0,0.0,68,8,0.11764705882352941
AND,2011,0.0,0.0,0.0,0.0,0.0,0.0,76,14,0.18421052631578946
AND,2012,0.0,0.0,0.0,0.0,0.0,0.0,53,4,0.07547169811320754
AND,2013,0.0,0.0,0.0,0.0,0.0,0.0,48,5,0.10416666666666667
AND,2014,0.0,0.0,0.0,0.0,0.0,0.0,76,10,0.13157894736842105
AND,2015,0.0,0.0,0.0,0.0,0.0,0.0,95,17,0.17894736842105263
AND,2016,0.0,0.0,0.0,0.0,0.0,0.0,73,18,0.2465753424657534
AND,2017,0.0,0.0,1.0,0.0,0.0,0.0,67,23,0.34328358208955223
AND,2018,0.0,0.0,0.0,0.0,0.0,0.0,77,13,0.16883116883116883
AND,2019,0.0,0.0,0.0,0.0,0.0,0.0,65,26,0.4
AND,2020,0.0,0.0,0.0,0.0,0.0,0.0,50,12,0.24
AND,2021,0.0,0.0,0.0,0.0,0.0,0.0,74,20,0.2702702702702703
AND,2022,0.0,0.0,0.0,0.0,0.0,0.0,60,23,0.38333333333333336
AND,2023,0.0,0.0,0.0,0.0,0.0,0.0,69,25,0.36231884057971014
AND,2024,0.0,0.0,0.0,0.0,0.0,1.0,50,9,0.18
AND,2025,0.0,0.0,0.0,0.0,0.0,1.0,113,17,0.1504424778761062
ARE,1972,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0
ARE,1973,0.0,0.0,0.0,0.0,0.0,0.0,53,6,0.11320754716981132
ARE,1974,0.0,0.0,0.0,0.0,0.0,0.0,69,13,0.18840579710144928
ARE,1975,0.0,0.0,0.0,0.0,0.0,0.0,53,2,0.03773584905660377
ARE,1976,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0.0
