year,country,speech_length,tokens_length,renewable_energy_count,climate_change_count,renewable_energy_1000_rate,climate_change_1000_rate
1955,IRQ,3835,1940,0,0,0.0,0.0
1955,URY,2217,1166,0,0,0.0,0.0
1955,PAN,1370,660,0,0,0.0,0.0
1955,GRC,1817,876,0,0,0.0,0.0
1955,YUG,3885,1930,0,0,0.0,0.0
1955,VEN,2552,1261,1,0,0.7930214115781126,0.0
1955,BLR,3528,1806,0,0,0.0,0.0
1955,FRA,5216,2520,0,0,0.0,0.0
1955,PAK,3002,1527,0,0,0.0,0.0
1955,DOM,2790,1363,0,0,0.0,0.0
1955,ETH,1974,944,0,0,0.0,0.0
1955,BRA,1611,817,0,0,0.0,0.0
1955,SWE,1990,988,0,0,0.0,0.0
1955,ARG,3265,1628,0,0,0.0,0.0
1955,IND,17868,7968,0,0,0.0,0.0
1955,RUS,8890,4589,0,0,0.0,0.0
1955,SYR,6747,3188,0,0,0.0,0.0
1955,BOL,6091,3139,0,2,0.0,0.6371455877668047
1955,IDN,5313,2649,0,0,0.0,0.0
1955,DNK,2292,1154,0,0,0.0,0.0
1955,POL,4025,2058,0,0,0.0,0.0
1955,GBR,3526,1734,0,0,0.0,0.0
1955,ECU,3908,1969,0,0,0.0,0.0
1955,CRI,3040,1487,0,0,0.0,0.0
1955,CHN,3962,2050,0,0,0.0,0.0
1956,CSK,4323,2225,0,0,0.0,0.0
1956,NZL,4251,2083,0,0,0.0,0.0
1956,EGY,3779,1771,0,0,0.0,0.0
1956,NLD,2459,1225,0,0,0.0,0.0
1956,AUS,5110,2543,0,0,0.0,0.0
1956,MMR,2260,1142,0,0,0.0,0.0
1956,ITA,4037,2013,0,0,0.0,0.0
1956,SLV,1533,775,0,0,0.0,0.0
1956,CHL,3723,1850,0,0,0.0,0.0
1956,PER,4641,2307,0,0,0.0,0.0
1956,KHM,3217,1688,0,0,0.0,0.0
1956,ISR,5313,2627,0,1,0.0,0.3806623524933384
1956,CUB,3626,1881,0,0,0.0,0.0
1956,SDN,3371,1661,1,0,0.6020469596628537,0.0
1956,GTM,3957,1917,0,0,0.0,0.0
1956,ZAF,4453,2176,0,0,0.0,0.0
1956,USA,2627,1363,0,0,0.0,0.0
1956,HTI,2618,1325,0,0,0.0,0.0
1956,ESP,3733,1841,0,0,0.0,0.0
1956,CAN,3887,1893,0,0,0.0,0.0
1956,MAR,2252,1105,0,1,0.0,0.9049773755656109
1956,IRN,2425,1182,0,0,0.0,0.0
1956,YEM,1359,645,0,0,0.0,0.0
1956,IRQ,5508,2855,0,0,0.0,0.0
1956,THA,1110,506,0,0,0.0,0.0
1956,PRY,2881,1419,0,0,0.0,0.0
1956,ROU,3660,1851,0,0,0.0,0.0
1956,LAO,2496,1230,0,0,0.0,0.0
1956,UKR,3214,1665,0,1,0.0,0.6006006006006006
1956,LBR,1958,963,0,0,0.0,0.0
1956,NPL,2219,1097,0,0,0.0,0.0
1956,GRC,2104,1064,0,0,0.0,0.0
1956,YUG,3066,1550,0,0,0.0,0.0
1956,HUN,2160,1161,0,0,0.0,0.0
1956,VEN,1967,972,0,0,0.0,0.0
1956,PAN,2517,1297,0,0,0.0,0.0
1956,URY,5310,2692,0,0,0.0,0.0
1956,FRA,4947,2450,0,0,0.0,0.0
1956,PAK,3314,1638,0,0,0.0,0.0
